trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
304,False,"{'a': 0.5, 'e': 0.08799999999999919}",20,1,-105.14041952240099,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,0,-73.4906315839258,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
306,False,"{'a': 0.5, 'e': 0.08199999999999918}",30,0,-199.47118085035905,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
307,False,"{'a': 0.5, 'e': 0.07899999999999918}",25,0,-256.0526302540158,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
308,False,"{'a': 0.5, 'e': 0.07599999999999918}",20,0,-105.26730602596349,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
309,False,"{'a': 0.5, 'e': 0.07299999999999918}",20,0,-85.2677518006824,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
310,False,"{'a': 0.5, 'e': 0.06999999999999917}",30,0,-173.23993779558245,"{0: 16, 1: 3, 2: 6, 3: 4, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.06699999999999917}",20,0,-86.90853429727258,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
312,False,"{'a': 0.5, 'e': 0.06399999999999917}",20,0,-163.31431838870668,"{0: 6, 1: 6, 2: 6, 3: 0, 4: 2}",0
313,False,"{'a': 0.5, 'e': 0.060999999999999166}",20,0,-44.01496655505815,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
314,False,"{'a': 0.5, 'e': 0.05799999999999916}",20,0,-56.368938522161834,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
315,False,"{'a': 0.5, 'e': 0.05499999999999916}",25,0,-126.87980027980024,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
316,False,"{'a': 0.5, 'e': 0.05199999999999916}",25,0,-127.87027790243275,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
317,False,"{'a': 0.5, 'e': 0.048999999999999155}",20,0,-115.16330630889856,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-117.9182098921434,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-148.7299962566827,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-94.24497491650735,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-145.3218632618702,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-93.09059186347135,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-202.14146498272146,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-130.06894986583512,"{0: 17, 1: 4, 2: 5, 3: 4, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-189.59156996537243,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-157.3772767737631,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-190.32862817527882,"{0: 10, 1: 2, 2: 11, 3: 0, 4: 2}",0
